source,target,weight,global_score
648,555,8876,8876
648,708,8838,8838
259,730,8601,8601
733,571,8269,8269
647,571,7566,7566
730,700,6956,6956
730,663,6626,6626
663,725,5999,5999
199,733,5873,5873
571,725,5594,5594
702,597,5512,5512
529,697,5488,5488
700,725,5487,5487
730,554,5468,5468
648,514,5410,5410
259,647,5294,5294
529,981,5258,5258
259,702,5200,5200
591,132,4997,4997
259,554,4868,4868
259,718,4854,4854
554,725,4784,4784
700,736,4778,4778
128,648,4687,4687
128,733,4666,4666
506,737,4660,4660
647,718,4553,4553
554,736,4506,4506
259,574,4465,4465
730,673,4457,4457
648,552,4425,4425
259,682,4389,4389
648,674,4381,4381
259,725,4298,4298
259,579,4295,4295
648,688,4276,4276
128,575,4232,4232
700,697,4195,4195
575,720,4081,4081
1265,1260,3979,3979
648,733,3959,3959
702,718,3928,3928
702,571,3906,3906
645,758,3879,3879
259,132,3871,3871
259,128,3828,3828
128,627,3762,3762
733,708,3743,3743
280,648,3664,3664
730,571,3664,3664
554,697,3645,3645
700,726,3637,3637
733,552,3590,3590
529,548,3575,3575
506,723,3563,3563
571,697,3421,3421
691,1417,3410,3410
575,514,3393,3393
259,510,3345,3345
199,591,3341,3341
128,647,3340,3340
733,674,3329,3329
529,806,3303,3303
673,725,3296,3296
645,648,3288,3288
806,575,3283,3283
128,663,3257,3257
661,741,3255,3255
806,673,3240,3240
571,689,3192,3192
157,730,3191,3191
571,510,3186,3186
506,697,3178,3178
663,723,3164,3164
651,2194,3162,3162
574,128,3150,3150
691,858,3146,3146
733,739,3115,3115
981,579,3092,3092
259,965,3064,3064
625,702,3011,3011
806,579,3005,3005
554,737,2967,2967
597,674,2953,2953
579,725,2943,2943
506,858,2942,2942
157,683,2938,2938
730,597,2933,2933
1733,1706,2914,2914
579,965,2897,2897
645,893,2873,2873
199,1573,2865,2865
682,683,2860,2860
730,806,2847,2847
648,765,2826,2826
651,2191,2822,2822
128,673,2802,2802
1659,199,2796,2796
199,574,2796,2796
157,702,2787,2787
691,1542,2769,2769
702,673,2758,2758
128,597,2747,2747
806,733,2746,2746
204,691,2715,2715
506,488,2695,2695
204,733,2678,2678
591,736,2659,2659
725,683,2657,2657
199,730,2654,2654
682,597,2645,2645
571,736,2642,2642
506,2190,2637,2637
199,648,2625,2625
806,1573,2618,2618
128,571,2616,2616
204,648,2609,2609
647,648,2605,2605
199,132,2598,2598
157,725,2587,2587
875,885,2574,2574
806,682,2572,2572
733,1734,2569,2569
674,741,2569,2569
682,741,2567,2567
648,695,2565,2565
691,651,2548,2548
571,724,2532,2532
506,498,2532,2532
199,579,2528,2528
575,1202,2524,2524
571,578,2523,2523
204,645,2519,2519
691,722,2514,2514
280,591,2508,2508
806,627,2503,2503
806,965,2497,2497
199,529,2495,2495
691,1264,2495,2495
128,554,2485,2485
691,2190,2470,2470
651,689,2469,2469
736,718,2462,2462
575,612,2458,2458
204,591,2455,2455
806,700,2453,2453
280,730,2438,2438
691,765,2435,2435
682,981,2433,2433
575,1187,2412,2412
651,653,2407,2407
280,625,2402,2402
575,765,2387,2387
648,1323,2376,2376
733,726,2371,2371
259,1734,2370,2370
647,520,2344,2344
506,536,2343,2343
736,527,2333,2333
552,741,2330,2330
575,692,2325,2325
647,514,2322,2322
529,2183,2314,2314
625,965,2306,2306
280,627,2300,2300
574,724,2300,2300
741,498,2292,2292
651,578,2291,2291
730,674,2286,2286
506,586,2286,2286
225,765,2279,2279
157,893,2272,2272
529,735,2271,2271
674,683,2270,2270
904,885,2269,2269
702,537,2264,2264
157,204,2260,2260
574,2191,2252,2252
893,733,2247,2247
1518,1548,2240,2240
591,726,2224,2224
132,627,2221,2221
591,984,2210,2210
648,741,2207,2207
199,1542,2203,2203
292,904,2202,2202
259,150,2201,2201
648,602,2201,2201
733,1808,2195,2195
193,591,2194,2194
591,661,2189,2189
806,736,2187,2187
273,758,2178,2178
575,1417,2176,2176
700,510,2172,2172
506,765,2169,2169
736,565,2165,2165
893,691,2161,2161
645,1808,2157,2157
697,488,2156,2156
128,682,2155,2155
539,510,2155,2155
259,539,2152,2152
627,697,2146,2146
741,726,2145,2145
647,643,2142,2142
199,128,2141,2141
682,720,2139,2139
733,981,2139,2139
597,661,2135,2135
730,726,2130,2130
691,506,2130,2130
645,1542,2118,2118
691,712,2113,2113
981,552,2111,2111
663,689,2106,2106
157,1734,2103,2103
691,974,2094,2094
552,510,2094,2094
645,875,2080,2080
1659,806,2074,2074
574,514,2072,2072
736,683,2063,2063
700,286,2061,2061
157,724,2058,2058
736,632,2057,2057
237,691,2054,2054
365,891,2046,2046
893,648,2040,2040
627,720,2039,2039
204,625,2029,2029
702,1187,2021,2021
645,1202,2017,2017
280,529,2013,2013
645,737,2008,2008
645,132,2007,2007
806,1542,2007,2007
645,733,2004,2004
199,663,2003,2003
204,529,1996,1996
204,1573,1996,1996
645,735,1994,1994
575,1264,1990,1990
280,1573,1986,1986
529,858,1983,1983
663,611,1979,1979
627,692,1971,1971
691,984,1965,1965
893,1573,1958,1958
579,643,1953,1953
514,673,1951,1951
591,1202,1948,1948
1788,1851,1948,1948
506,671,1947,1947
1808,1706,1944,1944
554,537,1938,1938
645,1734,1934,1934
673,552,1927,1927
1659,204,1914,1914
201,885,1913,1913
648,858,1912,1912
758,1096,1907,1907
702,981,1906,1906
723,741,1900,1900
529,1417,1899,1899
981,736,1898,1898
280,691,1896,1896
597,498,1896,1896
700,765,1895,1895
682,692,1894,1894
203,691,1892,1892
673,758,1891,1891
625,697,1888,1888
591,893,1875,1875
858,286,1870,1870
651,611,1867,1867
280,575,1863,1863
575,722,1861,1861
259,645,1860,1860
806,554,1845,1845
627,1202,1844,1844
128,53,1843,1843
730,488,1840,1840
157,193,1837,1837
1666,1542,1833,1833
237,645,1828,1828
554,965,1823,1823
625,806,1821,1821
663,2067,1821,1821
1208,1268,1814,1814
591,688,1813,1813
691,1894,1813,1813
571,1417,1813,1813
199,673,1811,1811
552,683,1811,1811
806,565,1807,1807
875,691,1799,1799
506,286,1797,1797
1659,893,1795,1795
1187,725,1791,1791
94,691,1781,1781
648,1392,1780,1780
648,691,1777,1777
259,1202,1772,1772
591,689,1772,1772
682,735,1771,1771
209,758,1762,1762
579,695,1762,1762
648,735,1760,1760
730,648,1757,1757
539,688,1757,1757
157,875,1752,1752
1659,1033,1748,1748
733,286,1740,1740
529,1202,1735,1735
554,286,1735,1735
157,1202,1733,1733
981,632,1729,1729
591,697,1727,1727
981,708,1724,1724
591,286,1716,1716
199,627,1715,1715
665,737,1715,1715
1798,1844,1714,1714
286,1096,1710,1710
506,1264,1708,1708
856,885,1708,1708
574,648,1706,1706
718,618,1705,1705
259,94,1697,1697
651,506,1697,1697
510,687,1694,1694
571,653,1691,1691
733,688,1690,1690
53,648,1688,1688
627,984,1687,1687
663,1323,1687,1687
885,340,1686,1686
77,691,1685,1685
529,765,1684,1684
730,538,1680,1680
552,724,1676,1676
597,552,1675,1675
365,765,1674,1674
225,893,1673,1673
1659,280,1672,1672
292,157,1669,1669
579,548,1666,1666
1752,1820,1662,1662
645,1264,1661,1661
981,965,1659,1659
506,2067,1657,1657
730,1202,1656,1656
651,613,1656,1656
157,1542,1655,1655
259,1653,1655,1655
201,858,1652,1652
193,625,1651,1651
730,2190,1651,1651
292,865,1650,1650
1759,1845,1644,1644
645,891,1639,1639
150,702,1636,1636
199,150,1632,1632
625,893,1631,1631
673,2189,1628,1628
697,1187,1626,1626
199,700,1624,1624
1666,1733,1623,1623
575,650,1620,1620
132,1264,1619,1619
575,594,1619,1619
280,700,1616,1616
1096,765,1615,1615
1254,1208,1611,1611
157,128,1609,1609
575,600,1609,1609
682,643,1608,1608
201,765,1602,1602
691,1187,1600,1600
280,1542,1599,1599
730,733,1599,1599
575,593,1597,1597
645,800,1592,1592
529,893,1587,1587
193,691,1586,1586
132,1201,1584,1584
625,737,1583,1583
651,2183,1583,1583
552,695,1582,1582
627,674,1575,1575
1659,1653,1570,1570
673,720,1568,1568
1201,1542,1567,1567
575,506,1564,1564
1734,1579,1563,1563
574,612,1558,1558
157,758,1555,1555
1254,1219,1553,1553
204,1734,1552,1552
201,800,1552,1552
651,520,1552,1552
365,800,1550,1550
157,153,1546,1546
529,1005,1546,1546
506,1187,1546,1546
647,611,1545,1545
648,2194,1545,1545
280,1264,1544,1544
591,965,1542,1542
765,833,1539,1539
506,2182,1535,1535
674,724,1534,1534
806,1653,1533,1533
625,94,1531,1531
574,1202,1529,1529
645,209,1528,1528
150,725,1527,1527
1064,1068,1527,1527
1734,1812,1523,1523
575,1189,1522,1522
204,506,1513,1513
575,648,1513,1513
682,737,1512,1512
193,645,1510,1510
661,683,1507,1507
571,1005,1506,1506
730,741,1505,1505
286,864,1505,1505
259,766,1504,1504
647,498,1501,1501
554,578,1501,1501
645,203,1498,1498
1264,1788,1497,1497
647,714,1494,1494
858,1808,1492,1492
1542,1851,1491,1491
625,875,1485,1485
132,1808,1485,1485
514,718,1485,1485
1659,904,1484,1484
708,739,1484,1484
645,1366,1481,1481
365,286,1480,1480
965,966,1480,1480
574,702,1479,1479
579,1808,1474,1474
663,506,1473,1473
591,885,1470,1470
199,554,1469,1469
204,128,1469,1469
575,680,1468,1468
597,739,1467,1467
1759,1820,1463,1463
648,528,1460,1460
702,578,1460,1460
1573,1706,1460,1460
682,2067,1459,1459
237,856,1457,1457
203,813,1457,1457
53,733,1457,1457
648,506,1457,1457
280,1734,1455,1455
591,578,1455,1455
627,737,1453,1453
1759,1812,1453,1453
506,597,1452,1452
697,2190,1449,1449
259,1323,1442,1442
1306,1336,1441,1441
529,286,1440,1440
308,858,1437,1437
625,286,1437,1437
627,611,1436,1436
645,856,1435,1435
1548,1560,1434,1434
259,890,1433,1433
648,702,1431,1431
571,2183,1431,1431
645,986,1429,1429
591,1366,1428,1428
1808,1642,1428,1428
800,286,1427,1427
574,569,1425,1425
702,965,1425,1425
702,1189,1425,1425
806,708,1424,1424
506,952,1424,1424
591,858,1423,1423
575,691,1423,1423
691,536,1422,1422
514,565,1422,1422
225,286,1421,1421
645,1187,1421,1421
625,1202,1420,1420
651,680,1419,1419
128,134,1418,1418
700,758,1418,1418
1752,1812,1418,1418
708,724,1417,1417
632,724,1415,1415
1790,1851,1413,1413
691,1808,1412,1412
225,645,1411,1411
199,1548,1410,1410
308,904,1409,1409
673,692,1409,1409
102,691,1408,1408
702,1161,1408,1408
891,865,1406,1406
292,645,1405,1405
1659,1219,1404,1404
627,1366,1403,1403
575,541,1402,1402
691,952,1401,1401
575,2183,1400,1400
579,2183,1399,1399
648,1187,1398,1398
157,904,1393,1393
575,613,1390,1390
571,680,1390,1390
209,847,1389,1389
529,691,1387,1387
733,987,1387,1387
155,94,1380,1380
691,733,1380,1380
736,739,1380,1380
529,648,1378,1378
806,1456,1378,1378
157,1808,1377,1377
308,813,1376,1376
199,575,1373,1373
273,765,1373,1373
691,1734,1373,1373
555,724,1372,1372
708,667,1372,1372
591,150,1371,1371
625,661,1371,1371
691,528,1370,1370
514,708,1370,1370
741,611,1370,1370
529,2067,1368,1368
209,800,1368,1368
280,132,1367,1367
53,691,1364,1364
237,858,1363,1363
1833,1847,1362,1362
506,507,1361,1361
1542,1808,1359,1359
1591,1598,1359,1359
682,498,1358,1358
661,687,1358,1358
645,739,1357,1357
981,765,1357,1357
199,1095,1352,1352
806,1752,1352,1352
697,661,1352,1352
94,554,1350,1350
1808,1844,1350,1350
1187,1189,1349,1349
132,1734,1348,1348
1306,1311,1346,1346
259,856,1344,1344
280,128,1344,1344
237,864,1341,1341
700,858,1341,1341
204,1808,1336,1336
308,885,1334,1334
1272,1288,1334,1334
94,134,1333,1333
648,737,1333,1333
1734,1653,1332,1332
280,965,1331,1331
506,608,1331,1331
591,806,1328,1328
733,952,1327,1327
506,559,1326,1326
645,1095,1325,1325
875,1734,1324,1324
575,1323,1324,1324
858,1456,1320,1320
1734,1759,1320,1320
741,569,1320,1320
529,651,1319,1319
506,578,1316,1316
571,674,1315,1315
591,1734,1314,1314
965,952,1314,1314
132,1187,1312,1312
700,506,1312,1312
673,858,1310,1310
1518,1560,1309,1309
259,769,1308,1308
1808,1208,1308,1308
280,1095,1307,1307
891,286,1307,1307
552,661,1307,1307
1508,765,1307,1307
1201,1833,1304,1304
199,1518,1303,1303
1659,1716,1302,1302
193,1573,1299,1299
663,542,1299,1299
1573,1219,1298,1298
204,884,1297,1297
700,929,1297,1297
1666,1706,1296,1296
904,691,1294,1294
981,565,1293,1293
286,833,1293,1293
733,971,1292,1292
591,1542,1291,1291
150,663,1291,1291
673,847,1291,1291
1201,1642,1291,1291
700,695,1290,1290
199,1202,1287,1287
1808,1598,1286,1286
691,737,1285,1285
237,506,1284,1284
1187,735,1284,1284
625,1264,1283,1283
597,632,1283,1283
847,1456,1282,1282
237,875,1281,1281
591,2194,1280,1280
875,286,1279,1279
1659,1642,1276,1276
529,506,1275,1275
625,984,1273,1273
506,673,1273,1273
738,618,1272,1272
647,1264,1270,1270
682,2191,1268,1268
204,627,1267,1267
574,1187,1267,1267
591,2191,1266,1266
806,1202,1266,1266
201,286,1264,1264
237,833,1263,1263
193,128,1262,1262
736,726,1262,1262
273,864,1261,1261
725,528,1260,1260
648,986,1259,1259
1264,1778,1258,1258
199,647,1256,1256
647,733,1253,1253
739,611,1253,1253
591,53,1252,1252
691,685,1252,1252
1734,765,1252,1252
157,651,1251,1251
591,1187,1250,1250
1573,1227,1249,1249
273,891,1247,1247
204,1548,1246,1246
758,1456,1246,1246
292,1573,1245,1245
204,1456,1245,1245
929,708,1245,1245
904,1573,1244,1244
308,891,1243,1243
204,132,1242,1242
209,691,1242,1242
292,856,1240,1240
700,520,1239,1239
591,2189,1236,1236
733,683,1236,1236
554,671,1236,1236
292,691,1235,1235
893,1734,1232,1232
157,132,1229,1229
529,571,1227,1227
204,273,1226,1226
579,966,1226,1226
981,739,1225,1225
1764,1845,1224,1224
273,766,1222,1222
806,1095,1221,1221
1733,1202,1218,1218
574,506,1218,1218
981,718,1217,1217
700,2191,1216,1216
904,648,1215,1215
1734,1833,1213,1213
157,88,1209,1209
1202,725,1209,1209
1518,1653,1209,1209
682,520,1208,1208
237,813,1207,1207
225,885,1206,1206
891,340,1205,1205
575,712,1205,1205
597,565,1205,1205
157,739,1204,1204
157,691,1202,1202
132,1202,1201,1201
575,695,1200,1200
571,546,1200,1200
204,1542,1198,1198
893,1542,1198,1198
708,618,1198,1198
259,753,1196,1196
730,690,1196,1196
365,1573,1195,1195
575,548,1194,1194
237,765,1193,1193
365,645,1193,1193
574,647,1192,1192
1733,1734,1191,1191
529,885,1191,1191
625,688,1190,1190
514,695,1189,1189
1642,1625,1189,1189
273,800,1188,1188
209,813,1188,1188
280,697,1187,1187
579,1417,1187,1187
1734,1752,1187,1187
1788,1805,1187,1187
647,578,1185,1185
571,709,1180,1180
554,2182,1180,1180
552,548,1180,1180
201,813,1179,1179
665,697,1179,1179
365,591,1177,1177
199,273,1176,1176
645,1508,1174,1174
571,506,1172,1172
700,1005,1170,1170
627,1734,1168,1168
1734,1757,1168,1168
1189,737,1166,1166
280,1752,1164,1164
645,724,1164,1164
645,1201,1164,1164
209,757,1164,1164
132,150,1164,1164
571,642,1164,1164
201,891,1163,1163
286,769,1163,1163
904,1734,1162,1162
1573,1208,1161,1161
1659,1227,1160,1160
730,1808,1159,1159
203,865,1158,1158
529,984,1156,1156
806,343,1156,1156
554,2067,1156,1156
682,691,1153,1153
691,929,1151,1151
904,1808,1148,1148
571,496,1148,1148
741,542,1147,1147
730,697,1144,1144
733,725,1144,1144
858,1542,1143,1143
591,765,1142,1142
209,856,1142,1142
574,691,1141,1141
591,758,1141,1141
645,1096,1141,1141
847,1573,1140,1140
730,1201,1137,1137
1753,1851,1137,1137
157,1264,1135,1135
529,929,1132,1132
591,1808,1132,1132
574,730,1131,1131
691,571,1131,1131
259,1093,1130,1130
237,800,1129,1129
575,1005,1129,1129
1734,1810,1128,1128
53,94,1127,1127
625,981,1126,1126
893,1808,1126,1126
697,1189,1126,1126
157,885,1123,1123
150,53,1122,1122
225,237,1120,1120
730,1264,1120,1120
1033,1808,1120,1120
193,1734,1119,1119
203,648,1118,1118
575,1366,1118,1118
554,858,1118,1118
574,664,1116,1116
2060,1753,1116,1116
157,340,1115,1115
529,723,1115,1115
625,904,1115,1115
651,2186,1115,1115
806,1598,1114,1114
1264,1542,1113,1113
506,984,1112,1112
292,648,1110,1110
280,150,1108,1108
204,700,1107,1107
702,1183,1107,1107
210,758,1106,1106
506,539,1106,1106
199,965,1103,1103
199,1205,1101,1101
1752,1205,1101,1101
1825,1851,1101,1101
647,966,1100,1100
691,971,1100,1100
292,591,1098,1098
858,1734,1098,1098
199,1653,1096,1096
981,661,1096,1096
574,965,1092,1092
225,800,1091,1091
758,236,1091,1091
571,2186,1089,1089
891,1096,1087,1087
574,736,1085,1085
591,987,1085,1085
209,766,1085,1085
1642,1614,1084,1084
806,270,1083,1083
150,697,1083,1083
893,1548,1082,1082
579,685,1082,1082
627,735,1081,1081
204,1096,1079,1079
272,758,1079,1079
893,1202,1076,1076
128,858,1074,1074
575,1392,1074,1074
157,984,1073,1073
591,506,1072,1072
1342,1346,1072,1072
1659,1633,1071,1071
579,688,1071,1071
625,891,1068,1068
858,884,1068,1068
286,847,1068,1068
510,737,1068,1068
1254,1653,1067,1067
237,847,1066,1066
893,128,1065,1065
539,653,1065,1065
691,1189,1063,1063
1733,733,1062,1062
645,150,1062,1062
806,838,1062,1062
648,736,1062,1062
340,765,1060,1060
730,1734,1059,1059
1189,725,1059,1059
663,1366,1057,1057
700,1894,1057,1057
673,612,1057,1057
1734,1598,1057,1057
272,806,1056,1056
758,343,1055,1055
597,720,1054,1054
150,77,1053,1053
259,1264,1052,1052
132,682,1052,1052
733,1205,1052,1052
1189,735,1052,1052
529,685,1051,1051
574,575,1051,1051
574,682,1050,1050
645,1392,1050,1050
571,667,1050,1050
1734,1798,1049,1049
981,674,1048,1048
554,618,1048,1048
539,488,1048,1048
965,1323,1047,1047
648,717,1046,1046
506,741,1046,1046
893,1096,1045,1045
209,1734,1045,1045
682,712,1044,1044
733,692,1044,1044
514,724,1043,1043
1667,1716,1041,1041
225,891,1040,1040
1808,847,1039,1039
730,691,1038,1038
1254,1264,1038,1038
1205,1598,1037,1037
273,847,1036,1036
308,847,1036,1036
627,648,1035,1035
651,592,1035,1035
506,966,1035,1035
625,1734,1034,1034
645,647,1034,1034
554,1417,1033,1033
1752,1798,1032,1032
529,542,1031,1031
575,1894,1029,1029
981,978,1029,1029
736,1187,1028,1028
647,537,1027,1027
1264,1614,1027,1027
1573,1809,1027,1027
157,94,1025,1025
806,1064,1024,1024
627,691,1024,1024
365,691,1023,1023
591,203,1023,1023
730,1183,1023,1023
554,506,1023,1023
2060,1825,1023,1023
157,1323,1020,1020
1796,1847,1020,1020
893,673,1018,1018
651,685,1018,1018
1659,1575,1017,1017
645,1548,1017,1017
730,1161,1016,1016
806,1548,1016,1016
579,546,1016,1016
1264,1764,1016,1016
591,611,1015,1015
733,1202,1015,1015
273,856,1014,1014
574,680,1013,1013
663,569,1013,1013
645,1005,1012,1012
730,702,1012,1012
858,236,1012,1012
1202,1591,1012,1012
539,520,1012,1012
1659,292,1009,1009
204,1518,1007,1007
1548,1562,1007,1007
702,1184,1006,1006
691,579,1005,1005
529,645,1004,1004
858,343,1003,1003
203,1734,1002,1002
858,1573,1002,1002
292,1734,1001,1001
1033,1716,1001,1001
259,648,1000,1000
806,1518,1000,1000
806,744,998,998
575,549,998,998
1733,1201,997,997
591,891,997,997
893,368,996,996
273,833,995,995
529,733,995,995
1833,1820,994,994
292,733,993,993
733,1184,993,993
1342,1322,993,993
806,1591,992,992
209,861,991,991
575,651,991,991
691,541,990,990
965,725,990,990
1347,1311,990,990
53,702,987,987
806,1201,986,986
806,368,985,985
1833,1759,984,984
1764,1847,984,984
691,546,983,983
1370,1371,982,982
259,1752,980,980
280,1653,980,980
625,858,980,980
1666,1702,979,979
1733,1808,979,979
645,340,979,979
157,1366,978,978
712,697,978,978
591,618,977,977
682,2190,977,977
1264,1579,977,977
199,1254,975,975
53,647,975,975
1666,1573,974,974
691,671,974,974
292,625,973,973
132,738,971,971
691,966,971,971
259,1068,970,970
806,859,970,970
579,1264,970,970
292,861,969,969
157,661,969,969
663,286,969,969
203,800,967,967
280,1202,966,966
648,965,966,966
1798,1759,966,966
597,714,965,965
259,1092,963,963
1542,2060,963,963
575,627,962,962
1202,1752,962,962
514,1417,961,961
627,690,960,960
225,847,959,959
286,890,959,959
1573,1790,959,959
1659,1790,958,958
574,692,957,957
77,571,957,957
702,2189,957,957
552,498,957,957
591,733,956,956
571,740,956,956
1542,1656,956,956
571,2193,955,955
365,865,954,954
627,1187,954,954
893,1450,952,952
856,286,952,952
1548,1536,952,952
365,856,951,951
574,733,950,950
597,555,950,950
627,506,949,949
554,1323,949,949
1753,1847,949,949
193,1450,948,948
53,627,948,948
981,510,948,948
648,1161,947,947
974,735,947,947
575,1353,946,946
1542,1573,946,946
308,286,945,945
645,687,945,945
199,1201,944,944
204,1095,944,944
965,738,944,944
203,890,943,943
1733,1705,942,942
1187,737,942,942
579,1734,941,941
259,1456,940,940
647,1161,940,940
663,720,940,940
1201,1825,939,939
691,986,938,938
506,974,938,938
286,852,937,937
1548,1059,937,937
1573,1762,937,937
1303,1318,937,937
280,1456,936,936
733,697,934,934
204,1264,933,933
591,209,933,933
806,1068,932,932
904,1542,932,932
885,864,932,932
1659,847,931,931
647,506,931,931
571,651,931,931
682,1161,930,930
702,653,930,930
193,884,929,929
665,690,929,929
157,150,928,928
904,765,928,928
1733,1264,927,927
579,506,927,927
1808,1614,927,927
273,885,926,926
280,1201,926,926
201,766,926,926
597,613,926,926
1187,1201,926,926
1201,1851,926,926
647,653,925,925
201,859,924,924
575,546,924,924
1573,1579,924,924
575,986,923,923
691,1005,923,923
527,714,923,923
1653,1642,923,923
893,1456,922,922
806,1094,921,921
280,1450,919,919
625,739,919,919
645,726,919,919
730,647,919,919
153,733,919,919
157,674,918,918
199,94,917,917
259,343,917,917
308,645,917,917
308,1573,917,917
203,861,917,917
1548,1565,917,917
885,852,916,916
280,1518,912,912
1367,1371,911,911
1752,1642,910,910
225,203,909,909
627,1417,909,909
565,611,909,909
806,333,907,907
591,201,905,905
691,565,905,905
858,1096,905,905
1579,1571,905,905
292,1808,904,904
1096,1653,903,903
1264,1205,902,902
697,741,900,900
1788,1784,899,899
157,865,898,898
574,622,898,898
591,663,898,898
648,687,897,897
1542,847,897,897
286,851,897,897
651,673,896,896
733,488,895,895
1254,1268,894,894
1796,1851,894,894
1733,1598,893,893
627,2183,893,893
806,924,892,892
730,652,891,891
893,236,889,889
648,697,889,889
661,488,889,889
1642,1610,889,889
648,725,888,888
682,537,888,888
280,1548,887,887
891,128,887,887
94,571,887,887
724,714,886,886
506,683,885,885
127,128,884,884
691,687,884,884
1201,1788,884,884
527,726,883,883
1659,1809,881,881
292,1096,881,881
259,691,881,881
647,702,880,880
965,726,880,880
1261,1260,880,880
193,1548,879,879
1254,1598,879,879
204,368,878,878
665,722,878,878
875,1456,877,877
1734,340,876,876
292,461,875,875
627,1264,875,875
893,1518,873,873
132,53,873,873
1752,1833,873,873
645,1294,872,872
875,766,872,872
1734,1761,872,872
204,1254,869,869
651,650,869,869
193,368,868,868
259,1272,868,868
891,1734,868,868
128,1894,868,868
554,1005,868,868
506,598,868,868
858,1548,868,868
1666,1653,867,867
204,461,867,867
625,1366,867,867
225,1542,866,866
1653,1633,866,866
102,128,865,865
1261,1265,865,865
1093,1548,864,864
365,1734,862,862
201,781,862,862
193,700,861,861
1659,1542,860,860
663,598,860,860
1745,1769,860,860
1659,858,859,859
1033,1573,859,859
771,864,859,859
579,541,858,858
193,506,857,857
733,539,857,857
1733,1667,856,856
1748,1770,856,856
209,753,855,855
893,461,854,854
199,1064,853,853
132,153,853,853
461,1054,853,853
663,664,852,852
568,618,852,852
1575,1580,852,852
575,733,851,851
506,643,851,851
1560,1565,851,851
591,1005,850,850
1184,725,850,850
259,1450,849,849
741,619,849,849
308,864,848,848
691,1323,848,848
765,1507,848,848
1733,1033,847,847
203,1456,847,847
53,575,847,847
965,1353,847,847
865,1456,847,847
308,856,846,846
365,904,846,846
651,541,846,846
506,512,846,846
1548,1567,846,846
627,986,845,845
648,1254,845,845
813,286,845,845
286,763,845,845
1656,1630,845,845
1734,1642,844,844
203,1096,843,843
575,2177,842,842
682,488,842,842
702,733,842,842
259,53,841,841
769,864,841,841
730,727,840,840
806,1205,840,840
904,343,840,840
292,236,839,839
259,1507,839,839
1201,1614,839,839
1264,1790,838,838
730,689,837,837
893,700,837,837
1201,1548,837,837
199,1093,836,836
971,736,836,836
461,1101,836,836
1064,1548,836,836
77,663,835,835
1456,2085,835,835
1825,1759,835,835
574,727,834,834
565,674,834,834
905,912,834,834
574,974,833,833
575,556,833,833
157,286,832,832
1598,1706,832,832
1778,1845,832,832
618,643,832,832
259,1101,831,831
506,1202,831,831
758,769,831,831
1748,1769,831,831
691,702,830,830
800,340,830,830
625,2189,829,829
132,1189,829,829
651,630,829,829
579,653,829,829
574,588,828,828
625,1417,828,828
806,1294,828,828
682,506,828,828
682,688,828,828
1542,1734,828,828
1093,1530,828,828
1456,1515,828,828
575,676,827,827
627,613,827,827
597,2191,826,826
1706,1716,826,826
682,602,825,825
885,890,825,825
691,1095,824,824
682,569,823,823
725,729,823,823
199,1591,822,822
627,650,822,822
554,498,822,822
365,648,820,820
529,700,819,819
691,622,819,819
157,1417,818,818
237,859,818,818
237,1096,818,818
627,541,818,818
651,554,818,818
1894,579,818,818
199,1323,817,817
765,744,817,817
1733,1681,816,816
1733,1730,816,816
647,984,816,816
648,663,816,816
506,986,816,816
199,838,815,815
280,1096,815,815
1894,632,815,815
308,833,814,814
1752,1706,814,814
645,663,813,813
691,632,813,813
2060,1812,813,813
813,847,812,812
204,1450,811,811
904,627,810,810
286,1095,810,810
663,700,809,809
1734,847,809,809
1752,1806,808,808
