source,target,nij,score
Napoleon,Myriel,1,1.0
MlleBaptistine,Myriel,8,0.1168831168831169
MmeMagloire,Myriel,10,0.987012987012987
MmeMagloire,MlleBaptistine,6,0.025974025974025976
CountessDeLo,Myriel,1,1.0
Geborand,Myriel,1,1.0
Champtercier,Myriel,1,1.0
Cravatte,Myriel,1,1.0
Count,Myriel,2,1.0
OldMan,Myriel,1,1.0
Valjean,Myriel,1,0.0
Valjean,MlleBaptistine,3,0.8831168831168831
Valjean,MmeMagloire,3,0.987012987012987
Valjean,Labarre,5,1.0
Marguerite,Valjean,1,0.0
MmeDeR,Valjean,1,1.0
Isabeau,Valjean,1,1.0
Gervais,Valjean,1,1.0
Listolier,Tholomyes,4,0.7662337662337663
Fameuil,Tholomyes,4,0.7532467532467533
Fameuil,Listolier,4,0.025974025974025976
Blacheville,Tholomyes,4,0.7532467532467533
Blacheville,Listolier,4,0.025974025974025976
Blacheville,Fameuil,4,0.025974025974025976
Favourite,Tholomyes,3,0.36363636363636365
Favourite,Listolier,3,0.025974025974025976
Favourite,Fameuil,3,0.025974025974025976
Favourite,Blacheville,4,0.025974025974025976
Dahlia,Tholomyes,3,0.7532467532467533
Dahlia,Listolier,3,0.025974025974025976
Dahlia,Fameuil,3,0.025974025974025976
Dahlia,Blacheville,3,0.025974025974025976
Dahlia,Favourite,5,0.025974025974025976
Zephine,Tholomyes,3,0.2857142857142857
Zephine,Listolier,3,0.025974025974025976
Zephine,Fameuil,3,0.025974025974025976
Zephine,Blacheville,3,0.025974025974025976
Zephine,Favourite,4,0.025974025974025976
Zephine,Dahlia,4,0.2077922077922078
Fantine,Valjean,3,0.0
Fantine,Marguerite,3,1.0
Fantine,Tholomyes,3,0.16883116883116883
Fantine,Listolier,3,0.18181818181818182
Fantine,Fameuil,4,0.19480519480519481
Fantine,Blacheville,4,0.19480519480519481
Fantine,Favourite,4,0.5844155844155844
Fantine,Dahlia,2,0.0
Fantine,Zephine,9,0.6753246753246753
MmeThenardier,Valjean,2,0.0
MmeThenardier,Fantine,7,0.23376623376623376
Thenardier,Valjean,13,0.8441558441558442
Thenardier,Fantine,1,0.0
Thenardier,MmeThenardier,12,0.9350649350649352
Cosette,Valjean,4,0.5064935064935064
Cosette,Tholomyes,31,0.5064935064935064
Cosette,MmeThenardier,1,0.0
Cosette,Thenardier,1,0.0
Javert,Valjean,17,0.7142857142857143
Javert,Fantine,5,0.7662337662337663
Javert,MmeThenardier,5,0.05194805194805195
Javert,Thenardier,1,0.0
Javert,Cosette,1,0.0
Fauchelevent,Valjean,8,1.0
Fauchelevent,Javert,1,0.0
Bamatabois,Valjean,1,0.0
Bamatabois,Fantine,1,0.0
Bamatabois,Javert,2,0.935064935064935
Perpetue,Fantine,1,0.987012987012987
Simplice,Valjean,2,0.7142857142857143
Simplice,Fantine,3,0.24675324675324675
Simplice,Javert,2,0.1038961038961039
Simplice,Perpetue,1,0.025974025974025976
Scaufflaire,Valjean,1,1.0
Woman1,Valjean,2,1.0
Woman1,Javert,1,0.0
Judge,Valjean,3,0.935064935064935
Judge,Bamatabois,2,0.025974025974025976
Champmathieu,Valjean,3,0.948051948051948
Champmathieu,Bamatabois,3,0.03896103896103896
Champmathieu,Judge,2,0.025974025974025976
Brevet,Valjean,2,0.961038961038961
Brevet,Bamatabois,2,0.05194805194805195
Brevet,Judge,2,0.03896103896103896
Brevet,Champmathieu,1,0.0
Chenildieu,Valjean,2,0.961038961038961
Chenildieu,Bamatabois,2,0.05194805194805195
Chenildieu,Judge,2,0.05194805194805195
Chenildieu,Champmathieu,2,0.03896103896103896
Chenildieu,Brevet,1,0.025974025974025976
Cochepaille,Valjean,2,0.948051948051948
Cochepaille,Bamatabois,2,0.03896103896103896
Cochepaille,Judge,2,0.03896103896103896
Cochepaille,Champmathieu,2,0.03896103896103896
Cochepaille,Brevet,2,0.025974025974025976
Cochepaille,Chenildieu,1,0.025974025974025976
Pontmercy,Thenardier,1,0.0
Boulatruelle,Thenardier,1,1.0
Eponine,MmeThenardier,2,0.0
Eponine,Thenardier,3,0.0
Anzelma,MmeThenardier,2,0.19480519480519481
Anzelma,Thenardier,2,0.8311688311688312
Anzelma,Eponine,1,0.0
Woman2,Valjean,3,1.0
Woman2,Cosette,1,0.0
Woman2,Javert,1,0.0
MotherInnocent,Valjean,3,1.0
MotherInnocent,Fauchelevent,1,0.0
Gribier,Fauchelevent,2,1.0
MmeBurgon,Jondrette,1,1.0
Gavroche,Valjean,2,0.0
Gavroche,Thenardier,1,0.0
Gavroche,Javert,1,0.0
Gavroche,MmeBurgon,1,1.0
Gillenormand,Valjean,3,0.8961038961038961
Gillenormand,Cosette,2,0.09090909090909091
Magnon,MmeThenardier,1,0.974025974025974
Magnon,Gillenormand,1,0.03896103896103896
MlleGillenormand,Valjean,9,0.6753246753246753
MlleGillenormand,Cosette,2,0.0
MlleGillenormand,Gillenormand,2,0.0
MmePontmercy,Pontmercy,1,0.4155844155844156
MmePontmercy,MlleGillenormand,1,0.5974025974025974
MlleVaubois,MlleGillenormand,1,1.0
LtGillenormand,Cosette,2,0.0
LtGillenormand,Gillenormand,1,0.0
LtGillenormand,MlleGillenormand,1,0.0
Marius,Valjean,6,0.7012987012987013
Marius,Tholomyes,12,0.974025974025974
Marius,Thenardier,1,0.0
Marius,Cosette,1,0.0
Marius,Pontmercy,21,1.0
Marius,Eponine,19,0.8311688311688312
Marius,Gavroche,1,0.0
Marius,Gillenormand,2,0.1038961038961039
Marius,MlleGillenormand,5,0.35064935064935066
Marius,LtGillenormand,4,1.0
BaronessT,Gillenormand,1,0.03896103896103896
BaronessT,Marius,1,0.974025974025974
Mabeuf,Eponine,1,0.0
Mabeuf,Gavroche,1,0.0
Mabeuf,Marius,1,0.0
Enjolras,Valjean,7,0.5844155844155844
Enjolras,Javert,7,0.35064935064935066
Enjolras,Gavroche,6,0.20779220779220778
Enjolras,Marius,1,0.0
Enjolras,Mabeuf,4,0.1038961038961039
Combeferre,Gavroche,15,0.7532467532467533
Combeferre,Marius,5,0.2077922077922078
Combeferre,Mabeuf,6,0.03896103896103896
Combeferre,Enjolras,2,0.0
Prouvaire,Gavroche,1,0.0
Prouvaire,Enjolras,4,0.5714285714285714
Prouvaire,Combeferre,2,0.0
Feuilly,Gavroche,2,0.0
Feuilly,Marius,6,0.2857142857142857
Feuilly,Mabeuf,2,0.0
Feuilly,Enjolras,5,0.09090909090909091
Feuilly,Combeferre,1,0.0
Feuilly,Prouvaire,1,0.0
Courfeyrac,Eponine,9,0.19480519480519481
Courfeyrac,Gavroche,17,0.41558441558441556
Courfeyrac,Marius,13,0.8961038961038961
Courfeyrac,Mabeuf,7,0.8571428571428572
Courfeyrac,Enjolras,2,0.0
Courfeyrac,Combeferre,1,0.0
Courfeyrac,Prouvaire,6,0.4025974025974026
Courfeyrac,Feuilly,3,0.0
Bahorel,Gavroche,5,0.14285714285714285
Bahorel,Marius,5,0.8051948051948052
Bahorel,Mabeuf,6,0.03896103896103896
Bahorel,Enjolras,2,0.0
Bahorel,Combeferre,4,0.025974025974025976
Bahorel,Prouvaire,3,0.025974025974025976
Bahorel,Feuilly,2,0.0
Bahorel,Courfeyrac,1,0.0
Bossuet,Valjean,5,0.6103896103896104
Bossuet,Gavroche,12,0.6623376623376622
Bossuet,Marius,5,0.19480519480519481
Bossuet,Mabeuf,4,0.05194805194805195
Bossuet,Enjolras,10,0.19480519480519481
Bossuet,Combeferre,6,0.0
Bossuet,Prouvaire,2,0.0
Bossuet,Feuilly,9,0.6363636363636364
Bossuet,Courfeyrac,1,0.0
Bossuet,Bahorel,1,0.0
Joly,Gavroche,5,0.1038961038961039
Joly,Marius,7,0.7532467532467533
Joly,Mabeuf,3,0.03896103896103896
Joly,Enjolras,5,0.1038961038961039
Joly,Combeferre,5,0.025974025974025976
Joly,Prouvaire,5,0.025974025974025976
Joly,Feuilly,2,0.0
Joly,Courfeyrac,5,0.025974025974025976
Joly,Bahorel,1,0.0
Joly,Bossuet,2,0.0
Grantaire,Gavroche,3,0.35064935064935066
Grantaire,Enjolras,3,0.6363636363636364
Grantaire,Combeferre,1,0.0
Grantaire,Prouvaire,2,0.025974025974025976
Grantaire,Feuilly,2,0.025974025974025976
Grantaire,Courfeyrac,1,0.0
Grantaire,Bahorel,1,0.0
Grantaire,Bossuet,1,0.0
Grantaire,Joly,1,0.0
MotherPlutarch,Mabeuf,3,1.0
Gueulemer,Valjean,5,1.0
Gueulemer,MmeThenardier,1,0.0
Gueulemer,Thenardier,1,0.0
Gueulemer,Javert,1,0.0
Gueulemer,Eponine,1,0.0
Gueulemer,Gavroche,1,0.0
Babet,Valjean,6,0.8311688311688312
Babet,MmeThenardier,6,0.19480519480519481
Babet,Thenardier,1,0.0
Babet,Javert,1,0.0
Babet,Eponine,2,0.0
Babet,Gavroche,1,0.0
Babet,Gueulemer,1,0.0
Claquesous,Valjean,4,0.7792207792207793
Claquesous,MmeThenardier,4,0.19480519480519481
Claquesous,Thenardier,4,0.07792207792207792
Claquesous,Javert,1,0.0
Claquesous,Eponine,1,0.0
Claquesous,Enjolras,1,0.0
Claquesous,Gueulemer,1,0.0
Claquesous,Babet,1,0.0
Montparnasse,Valjean,1,0.0
Montparnasse,Thenardier,2,0.1038961038961039
Montparnasse,Javert,2,0.5714285714285714
Montparnasse,Eponine,2,0.36363636363636365
Montparnasse,Gavroche,1,0.0
Montparnasse,Gueulemer,1,0.0
Montparnasse,Babet,1,0.0
Montparnasse,Claquesous,1,0.0
Toussaint,Valjean,2,1.0
Toussaint,Cosette,1,0.0
Toussaint,Javert,1,0.0
Child1,Gavroche,2,0.987012987012987
Child2,Gavroche,2,0.987012987012987
Child2,Child1,3,0.025974025974025976
Brujon,Thenardier,3,0.6103896103896104
Brujon,Eponine,3,0.2077922077922078
Brujon,Gavroche,3,0.2207792207792208
Brujon,Gueulemer,1,0.0
Brujon,Babet,1,0.0
Brujon,Claquesous,1,0.0
Brujon,Montparnasse,1,0.0
MmeHucheloup,Gavroche,1,0.1038961038961039
MmeHucheloup,Enjolras,1,0.6103896103896104
MmeHucheloup,Courfeyrac,1,0.24675324675324675
MmeHucheloup,Bahorel,1,0.025974025974025976
MmeHucheloup,Bossuet,1,0.03896103896103896
MmeHucheloup,Joly,1,0.025974025974025976
MmeHucheloup,Grantaire,1,0.025974025974025976
